customer_city,customer_state,product_category_name_english,total_orders,avg_payment_value,avg_payment_installments,avg_freight_value,avg_price,avg_products_ordered
"paulo jacinto",AL,furniture_living_room,1,400.920000,1.0000,71.020000,329.900000,1
"paulo jacinto",AL,health_beauty,1,74.660000,5.0000,35.670000,38.990000,1
penedo,AL,health_beauty,2,142.735000,3.5000,36.745000,105.990000,2
penedo,AL,garden_tools,2,203.365000,4.0000,28.870000,174.495000,2
piacabucu,AL,stationery,1,167.450000,3.0000,38.450000,129.000000,1
piacabucu,AL,health_beauty,1,152.950000,4.0000,53.050000,99.900000,1
pilar,AL,sports_leisure,1,44.950000,1.0000,21.150000,23.800000,1
pilar,AL,housewares,1,54.670000,2.0000,22.670000,32.000000,1
pilar,AL,garden_tools,1,68.740000,1.0000,24.840000,43.900000,1
pindoba,AL,musical_instruments,1,420.290000,1.0000,53.290000,367.000000,1
pindoba,AL,cool_stuff,1,122.230000,3.0000,57.230000,65.000000,1
"porto calvo",AL,housewares,1,208.050000,8.0000,38.150000,169.900000,1
"porto calvo",AL,health_beauty,1,189.880000,1.0000,36.390000,153.490000,1
"porto de pedras",AL,computers_accessories,1,200.350000,2.0000,20.450000,179.900000,1
"rio largo",AL,health_beauty,2,100.360000,4.5000,20.415000,79.945000,2
"santa luzia do norte",AL,sports_leisure,1,44.950000,1.0000,21.150000,23.800000,1
"santana do ipanema",AL,sports_leisure,1,285.450000,1.0000,35.550000,249.900000,1
"santana do mundau",AL,housewares,1,213.500000,3.0000,47.850000,58.900000,1
"santana do mundau",AL,health_beauty,1,389.070000,2.0000,53.070000,336.000000,1
"santana do mundau",AL,consoles_games,1,665.440000,1.0000,66.440000,599.000000,1
"sao bras",AL,furniture_decor,1,54.740000,1.0000,24.840000,29.900000,1
"sao jose da laje",AL,watches_gifts,1,196.740000,4.0000,51.740000,145.000000,1
"sao jose da laje",AL,fashion_shoes,1,99.620000,8.0000,24.720000,74.900000,1
"sao jose da tapera",AL,fashion_bags_accessories,1,144.470000,1.0000,34.570000,109.900000,1
"sao luis do quitunde",AL,health_beauty,1,101.880000,2.0000,52.480000,49.400000,1
"sao luis do quitunde",AL,furniture_decor,1,249.670000,1.0000,59.770000,189.900000,1
"sao miguel dos campos",AL,computers_accessories,1,931.800000,10.0000,43.360000,189.590000,1
"sao miguel dos campos",AL,home_appliances,1,122.310000,5.0000,67.310000,55.000000,1
"sao sebastiao",AL,computers_accessories,1,2269.980000,1.0000,55.000000,1079.990000,1
satuba,AL,computers_accessories,1,79.880000,1.0000,34.150000,45.730000,1
satuba,AL,health_beauty,1,358.440000,8.0000,70.440000,288.000000,1
"tanque d'arca",AL,telephony,2,305.770000,4.0000,16.770000,289.000000,1
taquarana,AL,cool_stuff,1,190.430000,2.0000,43.440000,146.990000,1
"teotonio vilela",AL,telephony,2,187.450000,5.5000,34.955000,152.495000,2
"teotonio vilela",AL,sports_leisure,2,178.395000,1.0000,40.945000,137.450000,2
traipu,AL,toys,1,63.790000,1.0000,20.800000,42.990000,1
vicosa,AL,electronics,1,56.050000,1.0000,34.150000,21.900000,1
coari,AM,health_beauty,1,1259.040000,5.0000,68.390000,1190.650000,1
humaita,AM,watches_gifts,1,207.780000,3.0000,51.810000,155.970000,1
humaita,AM,consoles_games,1,141.650000,6.0000,51.060000,79.900000,1
humaita,AM,telephony,1,50.830000,2.0000,24.840000,25.990000,1
humaita,AM,health_beauty,1,58.140000,5.0000,34.150000,23.990000,1
itacoatiara,AM,telephony,1,92.980000,9.0000,17.500000,28.990000,2
manaus,AM,health_beauty,13,171.027368,3.6316,29.023158,90.054737,13
urucurituba,AM,home_appliances,1,159.890000,1.0000,38.990000,120.900000,1
urucurituba,AM,office_furniture,1,83.050000,1.0000,34.150000,48.900000,1
"laranjal do jari",AP,electronics,1,277.960000,2.0000,34.530000,104.450000,1
"laranjal do jari",AP,health_beauty,1,148.220000,1.0000,38.320000,109.900000,1
macapa,AP,health_beauty,7,162.444286,2.5714,34.618571,127.825714,7
oiapoque,AP,electronics,1,425.240000,10.0000,40.240000,385.000000,1
"porto grande",AP,garden_tools,1,64.140000,1.0000,34.150000,29.990000,1
santana,AP,fixed_telephony,2,279.763333,3.3333,24.840000,38.823333,2
santana,AP,watches_gifts,2,146.300000,1.6667,14.166667,75.633333,3
santana,AP,cool_stuff,2,181.595000,1.5000,24.595000,157.000000,2
santana,AP,health_beauty,2,216.845000,2.0000,28.895000,187.950000,2
"vitoria do jari",AP,consoles_games,1,137.270000,1.0000,51.320000,85.950000,1
abaira,BA,telephony,1,35.050000,3.0000,22.060000,12.990000,1
abaira,BA,watches_gifts,1,167.950000,7.0000,22.950000,145.000000,1
abare,BA,watches_gifts,1,166.480000,8.0000,17.480000,149.000000,1
abare,BA,auto,1,58.250000,2.0000,22.060000,36.190000,1
abrantes,BA,computers_accessories,1,200.350000,6.0000,61.350000,139.000000,1
acajutiba,BA,telephony,1,50.950000,5.0000,22.060000,28.890000,1
adustina,BA,bed_bath_table,1,102.270000,5.0000,27.470000,74.800000,1
alagoinhas,BA,telephony,5,120.098000,1.8000,15.304000,104.794000,4
alagoinhas,BA,sports_leisure,5,183.128000,2.4000,24.228000,158.900000,5
alcobaca,BA,watches_gifts,1,519.840000,8.0000,19.940000,499.900000,1
alcobaca,BA,computers_accessories,1,102.480000,1.0000,22.490000,79.990000,1
alcobaca,BA,telephony,1,314.340000,4.0000,14.350000,299.990000,1
amargosa,BA,bed_bath_table,1,71.810000,3.0000,16.820000,54.990000,1
"amelia rodrigues",BA,health_beauty,1,47.060000,2.0000,22.060000,25.000000,1
"amelia rodrigues",BA,telephony,1,14.645000,1.0000,16.790000,12.500000,1
"amelia rodrigues",BA,watches_gifts,1,353.670000,8.0000,18.780000,334.890000,1
"america dourada",BA,baby,1,217.920000,4.0000,48.020000,169.900000,1
anage,BA,computers_accessories,1,97.380000,1.0000,16.790000,31.900000,1
andarai,BA,christmas_supplies,1,109.500000,2.0000,29.600000,79.900000,1
andorinha,BA,auto,1,148.500000,3.0000,23.800000,124.700000,1
andorinha,BA,housewares,1,68.700000,5.0000,20.800000,47.900000,1
andorinha,BA,sports_leisure,1,234.340000,4.0000,24.340000,210.000000,1
andorinha,BA,health_beauty,1,81.850000,2.0000,22.350000,59.500000,1
andorinha,BA,telephony,1,264.220000,3.0000,15.220000,249.000000,1
angical,BA,health_beauty,1,293.500000,1.0000,23.600000,269.900000,1
anguera,BA,garden_tools,1,144.990000,2.0000,45.990000,99.000000,1
"antonio cardoso",BA,office_furniture,1,231.120000,1.0000,51.130000,179.990000,1
"antonio cardoso",BA,fashion_bags_accessories,1,208.800000,1.0000,18.900000,189.900000,1
"antonio goncalves",BA,fashion_bags_accessories,1,51.690000,5.0000,16.790000,34.900000,1
apora,BA,health_beauty,1,65.700000,1.0000,20.800000,44.900000,1
apuarema,BA,housewares,1,204.380000,10.0000,34.390000,169.990000,1
aracatu,BA,cool_stuff,1,95.760000,3.0000,19.770000,75.990000,1
araci,BA,telephony,1,38.790000,1.0000,20.800000,17.990000,1
araci,BA,bed_bath_table,1,52.180000,1.0000,22.280000,29.900000,1
araci,BA,sports_leisure,1,267.270000,5.0000,18.645000,114.990000,2
aramari,BA,baby,1,148.220000,8.0000,38.320000,109.900000,1
aramari,BA,bed_bath_table,1,74.340000,7.0000,16.840000,57.500000,1
arataca,BA,small_appliances_home_oven_and_coffee,1,865.780000,8.0000,70.780000,795.000000,1
arembepe,BA,small_appliances,1,355.080000,3.0000,25.180000,329.900000,1
arembepe,BA,garden_tools,1,138.980000,2.0000,19.590000,49.900000,1
aribice,BA,bed_bath_table,1,76.150000,1.0000,34.150000,42.000000,1
"arraial d ajuda",BA,sports_leisure,1,90.700000,4.0000,18.080000,72.620000,1
"arraial d'ajuda",BA,market_place,1,45.780000,1.0000,16.790000,28.990000,1
"arraial d'ajuda",BA,health_beauty,1,93.150000,1.0000,13.160000,79.990000,1
"arraial d'ajuda",BA,garden_tools,1,81.010000,1.0000,27.110000,53.900000,1
"arraial d'ajuda",BA,furniture_decor,1,182.830000,1.0000,22.830000,160.000000,1
"arraial d'ajuda",BA,computers_accessories,1,34.905000,1.0000,22.260000,47.550000,1
"arraial d'ajuda",BA,stationery,1,159.210000,3.0000,20.210000,139.000000,1
"arraial d'ajuda",BA,watches_gifts,1,107.290000,1.0000,22.300000,84.990000,1
baianopolis,BA,health_beauty,1,418.680000,4.0000,54.680000,364.000000,1
baianopolis,BA,furniture_decor,1,74.600000,1.0000,22.300000,52.300000,1
"baixa grande",BA,watches_gifts,1,66.240000,1.0000,22.240000,44.000000,1
banzae,BA,cool_stuff,1,127.420000,1.0000,27.430000,99.990000,1
barra,BA,health_beauty,1,131.350000,3.0000,31.350000,100.000000,1
barra,BA,sports_leisure,1,63.490000,1.0000,19.590000,43.900000,1
"barra da estiva",BA,home_appliances,2,119.620000,1.0000,22.470000,97.150000,2
"barra da estiva",BA,bed_bath_table,2,90.713333,5.6667,23.673333,37.460000,2
"barra do choca",BA,health_beauty,2,354.240000,7.0000,24.240000,330.000000,1
"barra do mendes",BA,watches_gifts,1,45.790000,1.0000,16.790000,29.000000,1
"barra do mendes",BA,cool_stuff,1,254.470000,1.0000,24.480000,229.990000,1
"barra do mendes",BA,electronics,1,83.020000,1.0000,18.020000,65.000000,1
"barra do tarrachil",BA,toys,2,144.440000,2.5000,32.490000,111.950000,2
barreiras,BA,sports_leisure,6,115.325000,1.6667,28.241667,87.083333,6
"barro alto",BA,small_appliances,1,33.780000,3.0000,16.790000,16.990000,1
"barro alto",BA,furniture_decor,1,98.400000,2.0000,23.400000,75.000000,1
"barro preto",BA,auto,1,146.580000,1.0000,27.780000,118.800000,1
barrocas,BA,cool_stuff,1,118.260000,10.0000,18.270000,99.990000,1
belmonte,BA,telephony,1,60.050000,5.0000,22.060000,37.990000,1
"belo campo",BA,health_beauty,1,35.050000,1.0000,22.060000,12.990000,1
"belo campo",BA,cool_stuff,1,103.400000,1.0000,38.500000,64.900000,1
"belo campo",BA,electronics,1,119.190000,1.0000,22.610000,96.580000,1
biritinga,BA,auto,1,147.570000,3.0000,27.570000,120.000000,1
"bom jesus da lapa",BA,sports_leisure,2,886.905000,6.5000,60.405000,826.500000,2
"bom jesus da serra",BA,cool_stuff,1,254.470000,1.0000,24.480000,229.990000,1
"bom jesus da serra",BA,furniture_decor,1,67.820000,1.0000,17.920000,49.900000,1
boninal,BA,bed_bath_table,1,85.040000,2.0000,27.140000,57.900000,1
boninal,BA,construction_tools_construction,1,824.760000,4.0000,82.480000,329.900000,1
bonito,BA,sports_leisure,1,261.370000,6.0000,32.470000,228.900000,1
bonito,BA,computers_accessories,1,173.880000,2.0000,23.980000,149.900000,1
boquira,BA,health_beauty,1,95.670000,1.0000,25.770000,69.900000,1
botupora,BA,furniture_decor,1,346.510000,1.0000,21.510000,325.000000,1
brejoes,BA,luggage_accessories,1,71.670000,2.0000,18.440000,124.900000,1
brejolandia,BA,telephony,1,34.780000,3.0000,20.800000,13.980000,1
"brotas de macaubas",BA,health_beauty,1,185.620000,1.0000,17.620000,168.000000,1
brumado,BA,computers_accessories,4,93.468000,1.0000,18.454000,55.538000,4
buerarema,BA,watches_gifts,1,45.790000,2.0000,16.790000,29.000000,1
buerarema,BA,health_beauty,1,53.390000,5.0000,19.590000,33.800000,1
